Prefix	City / Metro area	Country / Region
AM	Amsterdam	NL-Netherlands
AS	Amsterdam / Schiphol	NL-Netherlands
BL	Berlin	DE-Germany
BL	Bluemont	US-VA
BN	Boydton		US-VA
BR	Sao Paulo	BR-Brazil
BY	Boydton	US-VA
CH	Chicago (Elk Grove)	US-IL
CU	Chicago (Chicago-Union)	US-IL
CL	Santiago de Chile	CL-Chile
CY	Cheyenne	US-WY
CWL	Cardiff	GB-Wales
DB	Dublin	IE-Ireland
DM	Des Moines (West Des Moines)	US-IA
DU	Dublin	IE-Ireland
FR	Frankfurt	DE-Germany
HE	Helsinki	FI-Finland
HK	Hong Kong	HK
IL	Tel Aviv (Modiin)	IL-Israel
IN	Pune / Chennai	IN-India
KR	Seoul	KR-South Korea
LN	London	GB-United Kingdom
ME	Melbourne	AU-Australia
OS	Oslo	NO-Norway
OS	Osaka	JP-Japan
PA	Paris	FR-France
PH	Phoenix	US-AZ
PR	Paris	FR-France
QA	Doha	QA-Qatar
QC	Quebec City	CA-Canada
QN	Quincy	US-WA
SA	San Antonio	US-TX
SA	Johannesburg	ZA-South Africa
SC	Santa Clara	US-CA
SG	Singapore	SG
SJ	San Jose	US-CA
SN	Snohomish County	US-WA
SY	Sydney	AU-Australia
TK	Tokyo	JP-Japan
TR	Toronto	CA-Canada
VI	Vienna	AT-Austria
ZH	Zurich	CH-Switzerland
