Prefix,City / Metro area,Country / Region,Notes & clues
AM,Amsterdam,NL-Netherlands,"Early O365 builds; largely replaced by AS"
AS,"Amsterdam / Schiphol",NL-Netherlands,"“Amsterdam-Schiphol 8/10/12…” clusters"
BL,Berlin,DE-Germany,"German Sovereign Cloud v1 (“Black Forest/BerLIN”)"
BL,Bluemont,US-VA,"US Gov / M365 GCC; prefix duplicated with Berlin"
BR,"São Paulo",BR-Brazil,"Brazil South region"
BY,Boydton,US-VA,"US East 2 – Microsoft’s largest U.S. campus"
CH,"Chicago (Elk Grove)",US-IL,"US North Central; often CH1/CH2"
CU,"Chicago (“Chicago-Union”)",US-IL,"Second Chicago campus"
CL,"Santiago de Chile",CL-Chile,"Chile Central region"
CY,Cheyenne,US-WY,"Legacy Hotmail → early Office 365 site"
CWL,Cardiff,GB-Wales,"UK West region (3-letter prefix introduced in 2023)"
DB,Dublin,IE-Ireland,"Grange Castle / Clondalkin – EU backbone hub"
DM,"Des Moines (West Des Moines)",US-IA,"Mid-America hub"
FR,Frankfurt,DE-Germany,"German Sovereign Cloud v2 and DE Central"
HE,Helsinki,FI-Finland,"Finland Central region"
HK,Hong Kong,HK,"Asia-Pacific edge & front-end clusters"
IL,"Tel Aviv (Modiin)",IL-Israel,"Israel Central sovereign cloud"
IN,"Pune / Chennai",IN-India,"New India Central/South (prefix in flux)"
KR,Seoul,KR-South Korea,"Korea Central"
LN,London,GB-United Kingdom,"UK South (Elstree-Cardinal & Docklands)"
ME,Melbourne,AU-Australia,"Australia South East"
OS,Oslo,NO-Norway,"Norway East; prefix duplicated with Osaka"
OS,Osaka,JP-Japan,"Japan West; shares prefix with Oslo"
PA,Paris,FR-France,"France Central (Saclay campus)"
PH,Phoenix,US-AZ,"US West 3 – Goodyear/Williams Field"
QA,Doha,QA-Qatar,"Qatar Central sovereign cloud"
QC,"Québec City (Lévis)",CA-Canada,"Canada East"
QN,Quincy,US-WA,"First-generation Columbia River site"
SA,San Antonio,US-TX,"South Central US; prefix duplicated with Johannesburg"
SA,Johannesburg,ZA-South Africa,"South Africa North; prefix duplicated with San Antonio"
SC,"Santa Clara",US-CA,"Silicon Valley edge/DC"
SG,Singapore,SG,"Singapore region (AP Southeast)"
SJ,San Jose,US-CA,"Older Bay-area cloud POP"
SN,"Snohomish County",US-WA,"Internal traffic alias for Quincy"
SY,Sydney,AU-Australia,"Australia East"
TK,Tokyo,JP-Japan,"Japan East"
TR,Toronto,CA-Canada,"Canada Central (Scarborough)"
VI,Vienna,AT-Austria,"Austria (EU expansion pair)"
ZH,Zürich,CH-Switzerland,"Swiss North sovereign cloud"
